1000|1000|56572555682|April|Ponce|1997-11-13|College|2012-05-25||67
1001|1001|17662056805|David|Day|1959-09-02|Middle school|2021-03-12||86
1002|1002|68848548660|Tracy|Harris|1991-01-29|College|2013-09-01||15
1003|1003|10622772297|Antonio|Vega|1961-04-23|College|2015-10-14||181
1004|1004|95962797576|Karina|Tucker|1975-01-24|PhD|2012-10-07||48
1005|1005|97966816814|Kim|Smith|1998-09-05|Master|2012-09-02||109
1006|1006|30809830775|Sarah|Foster|2000-02-06|High School|2014-11-07||10
1007|1007|89938317939|Amy|Phillips|1988-08-28|Master|2017-03-14|2019-09-30|52
1008|1008|88136184733|Sarah|Zavala|1994-04-11|Middle school|2002-02-16||35
1009|1009|81871199322|Kimberly|Brown|1998-03-09|PhD|2006-10-12|2007-11-21|35
1010|1010|91940547403|Ann|Neal|1980-01-03|PhD|2019-12-04||32
1011|1011|72670203339|Sean|Weaver|1960-03-08|Master|2019-12-31||158
1012|1012|38495104460|Norma|English|1972-04-27|High School|2006-09-07||144
1013|1013|89121920797|Caleb|Compton|1959-01-21|PhD|2011-05-22||34
1014|1014|85688814038|Beverly|Carter|1980-12-04|College|2020-05-18||81
1015|1015|25372753276|Peter|Dickson|1972-11-26|Middle school|2016-06-12||26
1016|1016|21452512407|Beth|Bryant|1993-10-23|Middle school|2007-01-28||16
1017|1017|75305537634|Natalie|Carpenter|1981-12-11|Master|2020-08-03||16
1018|1018|12076108681|Joseph|Davis|2000-09-10|PhD|2008-09-23||199
1019|1019|33778698378|Jessica|Best|1995-06-09|Middle school|2012-05-26||132
1020|1020|39150324693|Joan|Hoover|1998-04-12|College|2002-04-11||119
1021|1021|20695932712|Crystal|Johnson|1975-01-28|Middle school|2011-07-19|2013-04-01|185
1022|1022|11290279299|Jesse|Parker|1962-09-20|Master|2010-01-07||29
1023|1023|45784981868|Jennifer|Cummings|1961-02-15|Middle school|2014-07-21||69
1024|1024|71571345018|Julie|Bailey|1993-04-22|Master|2020-07-06||83
1025|1025|80629883133|Nicole|Mejia|1997-10-03|High School|2008-12-21||61
1026|1026|54807460723|Andrew|Sanders|1973-01-31|PhD|2001-11-05||30
1027|1027|56780364870|Donald|Weaver|1961-06-12|Middle school|2015-01-20||196
1028|1028|17572895219|William|Browning|1993-04-25|Master|2007-09-22||109
1029|1029|15875012778|Jason|James|1963-08-23|High School|2000-12-06||61
1030|1030|36382722892|Andrew|Lambert|1992-01-17|Master|2011-10-11||186
1031|1031|45878700264|William|Adams|1964-02-16|High School|2019-07-24||37
1032|1032|12606631218|David|Rivera|1962-02-26|Master|2011-03-29||200
1033|1033|72907324982|Elizabeth|Garcia|1991-04-28|High School|2006-12-15||81
1034|1034|88909405827|Ricky|Thomas|2003-03-05|High School|2001-04-05||4
1035|1035|28053905698|Amanda|Wang|1986-10-07|PhD|2005-02-14||90
1036|1036|73714128177|Jennifer|Smith|1988-01-23|College|2014-12-12||171
1037|1037|14440231644|Christopher|Hill|1958-09-24|Middle school|2010-10-26||103
1038|1038|26405089161|Jonathan|Cook|1992-03-23|College|2004-12-14||0
1039|1039|10798233900|Megan|Wong|1959-05-22|PhD|2016-05-11||171
1040|1040|85093485157|Eric|Shelton|1995-10-17|PhD|2019-09-03||8
1041|1041|31343881419|Cindy|Carroll|1994-03-17|College|2021-03-10||98
1042|1042|57959749234|Joshua|Leon|1959-02-03|Middle school|2004-05-30||165
1043|1043|94391285114|Jennifer|Montgomery|1990-10-17|High School|2019-12-19||148
1044|1044|25346018895|Melissa|Cruz|1967-09-03|College|2019-12-01||66
1045|1045|65926821996|Jeremy|Campos|1999-04-10|College|2013-04-14|2014-03-13|189
1046|1046|70932410084|Shannon|Brown|1999-11-10|High School|2014-06-12||179
1047|1047|42024052288|Micheal|Holder|1957-12-13|High School|2001-05-16||188
1048|1048|95296012833|Laura|Parrish|1967-06-27|College|2020-02-20|2021-11-05|139
1049|1049|96075415762|Matthew|Padilla|1988-09-16|High School|2001-02-28||62
1050|1050|76834506642|Jeffrey|Garza|1968-05-13|Master|2012-02-09||52
1051|1051|22034449517|Julie|Lewis|1963-04-23|High School|2016-06-23||99
1052|1052|82338175697|Paul|Castillo|2002-03-24|High School|2018-01-26||116
1053|1053|11021327335|Travis|Alvarez|1996-10-05|High School|2008-07-31||103
1054|1054|28661635816|Pamela|Acosta|1996-11-04|PhD|2004-07-12||10
1055|1055|76555516454|Sara|Howard|1958-04-29|High School|2020-04-02|2022-03-17|31
1056|1056|45258673050|Melanie|Parker|2002-11-07|Middle school|2008-08-22|2010-03-29|11
1057|1057|24552580106|Sharon|Vasquez|1987-02-21|Master|2009-01-28||62
1058|1058|24006790564|Daniel|Farrell|1984-07-09|PhD|2006-12-26|2008-01-28|167
1059|1059|80141054302|Connie|Robinson|2001-08-05|Middle school|2010-06-08||80
1060|1060|20503289159|Sarah|Martinez|1957-10-09|PhD|2003-04-21||28
1061|1061|53064521465|Gregory|Johnson|1967-06-11|High School|2020-01-14||159
1062|1062|38968112538|Carl|Harris|1994-06-17|High School|2009-02-09||43
1063|1063|42773478203|Susan|Thomas|1958-12-27|Middle school|2015-05-31||158
1064|1064|36600563638|Jonathan|Brown|1978-02-23|Master|2012-07-21||44
1065|1065|57565654439|Carolyn|Martin|1978-12-07|Master|2013-05-30||141
1066|1066|49348502180|Leonard|Jackson|1960-08-30|College|2020-11-20||57
1067|1067|36229604681|Devon|Barnes|1992-08-30|PhD|2000-12-10||190
1068|1068|71376666133|Steven|Irwin|1999-10-26|PhD|2002-02-22||123
1069|1069|74743816124|Ashley|Hughes|1955-08-08|PhD|2017-10-07|2019-04-05|11
1070|1070|76051525605|Joel|Harris|1990-09-29|Master|2018-04-07|2018-07-10|169
1071|1071|72247315625|Stephanie|Dunlap|1955-12-10|High School|2014-11-26||25
1072|1072|29633184139|Anna|Stevens|1971-05-04|Middle school|2007-01-22||147
1073|1073|84717415633|Alyssa|Ewing|1988-03-07|College|2017-08-12||20
1074|1074|38082359119|Gloria|Little|1997-07-27|Middle school|2003-01-12||194
1075|1075|50530972748|Gina|Davies|1965-07-31|Master|2007-01-09||0
1076|1076|60898572738|Shelley|Cordova|1967-09-11|PhD|2019-04-27||192
1077|1077|93247512454|Julia|Rodriguez|1961-10-30|PhD|2006-10-16||29
1078|1078|80905334330|Ryan|Rowe|1966-11-06|Middle school|2017-07-11||187
1079|1079|63089280542|Victor|Proctor|1957-01-01|Master|2001-02-11||104
1080|1080|75963198833|Harry|Kirk|1994-08-29|PhD|2016-05-06||67
1081|1081|43751556758|Melissa|Davenport|1973-08-15|College|2007-11-02||1
1082|1082|94175343098|Carl|Carter|2002-08-09|Master|2012-12-08||71
1083|1083|78067555252|Bryan|Harris|1990-03-19|College|2017-06-27||136
1084|1084|83893206746|Karen|White|1996-11-02|Master|2021-01-19||192
1085|1085|11991853276|Scott|Floyd|1963-02-17|Middle school|2001-09-10||115
1086|1086|65282876313|Mitchell|Morris|2002-04-20|PhD|2021-03-19||82
1087|1087|28748035937|Amy|Jones|1960-06-15|Master|2018-07-03||174
1088|1088|70426616553|Alexander|Hansen|1983-03-06|PhD|2015-03-02||187
1089|1089|75686758101|Lori|Hutchinson|1992-06-11|PhD|2019-09-12||106
1090|1090|95440710980|Andrea|Liu|1996-05-05|High School|2003-12-31|2006-07-31|94
1091|1091|64323282015|Jennifer|Moore|1962-11-22|PhD|2010-07-04||115
1092|1092|40042931226|Tamara|Garcia|1971-06-26|College|2019-02-02||21
1093|1093|43898894726|Erica|Compton|1962-08-13|Master|2003-05-21||0
1094|1094|64532867318|Matthew|Welch|1957-04-18|High School|2007-03-08||6
1095|1095|96123586266|James|Peterson|1984-03-20|High School|2020-03-02||105
1096|1096|47981055850|Brian|Hobbs|1986-07-28|PhD|2001-08-25||165
1097|1097|85210830561|Mark|Harris|1997-07-09|Master|2014-11-22||130
1098|1098|64390270542|Nancy|Cross|1985-09-19|High School|2003-02-17|2003-04-18|51
1099|1099|55292585783|Angela|Richards|1983-03-27|Master|2018-07-18||150
1100|1100|80708650763|Natasha|Brown|1985-07-23|College|2017-02-20||200
1101|1101|64107152980|Robert|Sullivan|1996-12-01|Master|2008-12-12||184
1102|1102|27996414448|Jessica|Thomas|1987-12-19|Middle school|2010-10-09||149
1103|1103|75411282386|Nathan|Harrison|1980-08-02|High School|2013-12-21||183
1104|1104|34839012040|Christine|Butler|1966-07-26|PhD|2013-10-16|2015-12-10|90
1105|1105|95823550160|Lindsey|Watts|1982-09-19|College|2020-11-09||180
1106|1106|74737390737|Drew|Underwood|1956-08-07|High School|2010-10-04||52
1107|1107|37798962505|David|Williamson|1980-09-23|College|2019-03-25||172
